RowID,CrimeDateTime,Location,Description,Weapon,Gender,Age,Race,,District,Neighborhood,Latitude,Longitude
1252,2022/10/02 01:51:00+00,2900 FALLSTAFF RD,AUTO THEFT,,F,62,BLACK_OR_AFRICAN_AMERICAN,,NORTHWEST,CHESWOLDE,39.3716,-76.6854
1253,2022/10/02 03:00:00+00,200 N HOWARD ST,ROBBERY,KNIFE_CUTTING_INSTRUMENT,F,23,BLACK_OR_AFRICAN_AMERICAN,,CENTRAL,DOWNTOWN,39.2922,-76.6197
1254,2022/10/02 03:00:00+00,1800 N MONTFORD AVE,COMMON ASSAULT,PERSONAL_WEAPONS,F,19,BLACK_OR_AFRICAN_AMERICAN,,EASTERN,BROADWAY EAST,39.3111,-76.5845
1255,2022/10/02 04:00:00+00,3400 BOSTON ST,COMMON ASSAULT,,M,21,,,SOUTHEAST,CANTON INDUSTRIAL AREA,39.2769,-76.5683
1256,2022/10/02 04:50:00+00,1100 ASHBURTON ST,COMMON ASSAULT,PERSONAL_WEAPONS,F,37,BLACK_OR_AFRICAN_AMERICAN,,SOUTHWEST,WINCHESTER,39.3009,-76.6618
1257,2022/10/02 04:22:00+00,7200 HARFORD RD,COMMON ASSAULT,PERSONAL_WEAPONS,F,16,BLACK_OR_AFRICAN_AMERICAN,,NORTHEAST,NORTH HARFORD ROAD,39.3689,-76.547
1258,2022/10/02 04:22:00+00,7200 HARFORD RD,COMMON ASSAULT,PERSONAL_WEAPONS,F,60,BLACK_OR_AFRICAN_AMERICAN,,NORTHEAST,NORTH HARFORD ROAD,39.3689,-76.547
1259,2022/10/02 10:00:00+00,0 W 20TH ST,ROBBERY,KNIFE_CUTTING_INSTRUMENT,M,45,BLACK_OR_AFRICAN_AMERICAN,,NORTHERN,CHARLES NORTH,39.3121,-76.6167
1260,2022/10/02 01:00:00+00,0 N LUZERNE AVE,LARCENY FROM AUTO,,F,25,BLACK_OR_AFRICAN_AMERICAN,,SOUTHEAST,PATTERSON PARK NEIGHBORHOOD,39.2927,-76.5804
1261,2022/10/02 06:30:00+00,300 E FAYETTE ST,ROBBERY,OTHER,M,22,BLACK_OR_AFRICAN_AMERICAN,,CENTRAL,DOWNTOWN,39.2905,-76.611
